probe	gene
A_23_P20882	ATP6V1G1
A_23_P208835	MAP2K2
A_23_P208850	RPS16
A_23_P208900	SEMA6B
A_23_P208925	SH3GL1
A_23_P20894	EHMT1
A_23_P209055	CD22
A_23_P209116	CYP4F3
A_23_P209152	RPS15
A_23_P209183	GLT25D1
A_23_P209200	CCNE1
A_23_P209215	STAM2
A_23_P209227	CACNB4
A_23_P209246	GLI2
A_23_P209269	PPM1B
A_23_P209288	CUL3
A_23_P20932	PDHB
A_23_P209320	PER2
A_23_P209389	CASP8
A_23_P209394	CFLAR
A_23_P209408	CASP10
A_23_P209430	ALS2
A_23_P209449	FZD7
A_23_P209459	GALNT3
A_23_P209484	NEUROD1
A_23_P209519	DNAJB2
A_23_P209578	GAD1
A_23_P209625	CYP1B1
A_23_P209689	ROCK2
A_23_P209694	PAPOLG
A_23_P20970	ATG12
A_23_P209700	NMUR1
A_23_P209740	PSMD1
A_23_P209778	POLR2D
A_23_P20980	CYC1
A_23_P209879	ATF2
A_23_P209944	RETSAT
A_23_P209987	POLR1B
A_23_P210001	PAX8
A_23_P21002	ADCY1
A_23_P210100	CYP26B1
A_23_P210109	CYP26B1
A_23_P210176	ITGA6
A_23_P210210	EPAS1
A_23_P210253	DGKD
A_23_P21033	GMPS
A_23_P210348	COX7A2L
A_23_P210379	ARFGAP1
A_23_P210395	CHRNA4
A_23_P210425	MYL9
A_23_P210482	ADA
A_23_P21057	SEPT1
A_23_P210623	PCK1
A_23_P210719	NSFL1C
A_23_P210726	CDC25B
A_23_P210756	SNAP25
A_23_P210763	JAG1
A_23_P210849	PYGB
A_23_P210869	COX4I2
A_23_P210886	BCL2L1
A_23_P210900	ACSS2
A_23_P210920	GSS
A_23_P211080	IFNAR2
A_23_P211179	UBE2G2
A_23_P211233	COL6A2
A_23_P211252	LSS
A_23_P211285	NDUFV3
A_23_P21134	DDIT3
A_23_P211363	GNAZ
A_23_P211436	SF3A1
A_23_P211445	LIMK2
A_23_P211504	KDELR3
A_23_P211543	MCHR1
A_23_P21155	EDC3
A_23_P211550	RBX1
A_23_P211598	PMM1
A_23_P211643	PPARA
A_23_P211659	CERK
A_23_P211699	CCR8
A_23_P211727	FGF12
A_23_P211748	GTF2E1
A_23_P211773	CENTB2
A_23_P211835	AGTR1
A_23_P211840	UBE1C
A_23_P211878	FLNB
A_23_P211910	PLOD2
A_23_P211926	WNT5A
A_23_P211957	TGFBR2
A_23_P211965	ATP6V1A
A_23_P212034	DLG1
A_23_P212061	MME
A_23_P21207	UBE1L
A_23_P212119	GALNTL2
A_23_P212179	HRH1
A_23_P21219	SETD2
A_23_P212196	OGG1
A_23_P212258	KNG1
A_23_P212263	MASP1
A_23_P21230	TRIM37
A_23_P212360	CCR9
A_23_P212397	LARS2
A_23_P212423	XYLB
A_23_P212458	SEC61A1
A_23_P212469	ENTPD3
A_23_P212475	SCOTIN
A_23_P212535	CHMP2B
A_23_P212545	RAB5A
A_23_P212552	TBL1XR1
A_23_P212554	TBL1XR1
A_23_P212579	DAG1
A_23_P212617	TFRC
A_23_P212639	SFRS10
A_23_P212665	ABCC5
A_23_P212688	EVI1
A_23_P212706	ATG3
A_23_P212715	CBLB
A_23_P212749	HD
A_23_P212756	GRK4
A_23_P212800	FGF5
A_23_P212830	FGFR3
A_23_P212854	GYPB
A_23_P212869	GABRA2
A_23_P212870	SMAD1
A_23_P212954	UGT2A1
A_23_P212968	UGT2B11
A_23_P213045	LEF1
A_23_P213114	TEC
A_23_P21316	PRUNE
A_23_P213204	WHSC1
A_23_P213288	SCD5
A_23_P213336	FGF1
A_23_P213344	DIAPH1
A_23_P213394	FLT4
A_23_P213415	SEMA5A
A_23_P213471	AYTL2
A_23_P213551	CSNK1A1
A_23_P213562	F2R
A_23_P213584	HK3
A_23_P213602	CSNK1G3
A_23_P213620	PPP2R2B
A_23_P213638	PANK3
A_23_P213699	NRG2
A_23_P213706	IL4
A_23_P213718	UQCRQ
A_23_P213745	CXCL14
A_23_P21376	MAGI2
A_23_P21382	LAMB2
A_23_P213840	ATP6V0E1
A_23_P213857	C7
A_23_P213920	GABRG2
A_23_P213944	HBEGF
A_23_P214046	FBXW11
A_23_P214059	NR3C1
A_23_P214080	EGR1
A_23_P214091	LYPLA1
A_23_P214108	TPMT
A_23_P214121	AMD1
A_23_P214139	REV3L
A_23_P214185	UBE2J1
A_23_P214208	CNR1
A_23_P214211	RARS2
A_23_P214222	MARCKS
A_23_P2143	SPCS2
A_23_P214300	GSTA2
A_23_P214330	SERPINB1
A_23_P214411	GLO1
A_23_P214444	TAP2
A_23_P214459	PRPH2
A_23_P214464	CCND3
A_23_P214487	HIST1H4C
A_23_P214544	GPX5
A_23_P214603	FLOT1
A_23_P214638	EHMT2
A_23_P214666	RPS18
A_23_P214681	PPARD
A_23_P214821	EDN1
A_23_P214907	MTHFD1L
A_23_P214908	MTHFD1L
A_23_P214950	PERP
A_23_P214977	SEC63
A_23_P215096	UBE2H
A_23_P215111	ATP6V0A4
A_23_P2152	NDUFC2
A_23_P215265	GNA12
A_23_P215328	SFRP4
A_23_P215331	CRHR2
A_23_P215419	ICA1
A_23_P215461	LIMK1
A_23_P21548	ARHGAP10
A_23_P215484	CCL26
A_23_P215491	CCL24
A_23_P215549	PON3
A_23_P215634	IGFBP3
A_23_P215669	POLR2J2
A_23_P215720	CFTR
A_23_P215751	NDUFA5
A_23_P215790	EGFR
A_23_P215828	CYP3A43
A_23_P215832	ATP5J2
A_23_P215944	CTSB
A_23_P215956	MYC
A_23_P215963	STK3
A_23_P215976	CCNE2
A_23_P215997	CYP11B2
A_23_P216017	ENTPD4
A_23_P216043	DERL1
A_23_P216118	UNC5D
A_23_P216132	WHSC1L1
A_23_P216167	PSD3
A_23_P216176	MSR1
A_23_P216188	IKBKB
A_23_P216199	PPP1R3B
A_23_P216278	DDEF1
A_23_P216307	RUNX1T1
A_23_P216312	CNOT7
A_23_P216325	ASAH1
A_23_P216396	EXOSC2
A_23_P216402	UCK1
A_23_P216489	GNE
A_23_P216501	TPM2
A_23_P216649	ABCA1
A_23_P216679	CDC14B
A_23_P216708	RFK
A_23_P216779	NTRK2
A_23_P216812	CDKN2B
A_23_P216966	PTGS1
A_23_P216970	TRAF1
A_23_P216996	SH3GLB2
A_23_P21706	CTPS
A_23_P217068	RPL12
A_23_P217079	DPM2
A_23_P217088	AK1
A_23_P217120	EHMT1
A_23_P217258	CYBB
A_23_P217280	NOX1
A_23_P217319	FGF13
A_23_P217339	PRKX
A_23_P21734	TAF9
A_23_P217379	COL4A6
A_23_P217384	AP1S2
A_23_P217399	PIGA
A_23_P217411	SMC1A
A_23_P217430	ATP1B4
A_23_P217447	LAMP2
A_23_P217475	IDS
A_23_P217510	CD99
A_23_P217546	TMLHE
A_23_P217564	ACSL4
A_23_P217609	RPL36A
A_23_P217621	TAF7L
A_23_P217643	F8
A_23_P217666	RPL10
A_23_P217797	DDX3Y
A_23_P217820	DHCR24
A_23_P217886	UBE2J2
A_23_P217917	GSTM4
A_23_P217958	HK1
A_23_P217968	SUV420H1
A_23_P217998	JAM3
A_23_P218002	PRG2
A_23_P218058	KLRC4
A_23_P218111	SERPINA1
A_23_P218215	AA601902
A_23_P218225	QPRT
A_23_P218237	LCAT
A_23_P218269	TAOK2
A_23_P218295	VPS4A
A_23_P218369	CCL15
A_23_P218375	ITGAE
A_23_P218398	DLG4
A_23_P218505	LHB
A_23_P21853	AP2A2
A_23_P218597	NPAS2
A_23_P218626	NEU4
A_23_P218646	TNFRSF6B
A_23_P218717	UBOX5
A_23_P218743	AGPAT3
A_23_P218770	RAC2
A_23_P218774	RAC2
A_23_P218817	CPT1B
A_23_P218841	NGLY1
A_23_P218879	TREX1
A_23_P218884	DVL3
A_23_P218892	EIF4G1
A_23_P218905	UBE1L2
A_23_P218918	FGF2
A_23_P218965	LARS
A_23_P219013	ABCC10
A_23_P219045	HIST1H3D
A_23_P219105	FGFR1
A_23_P219144	CLTA
A_23_P219176	RXRA
A_23_P219197	RGS3
A_23_P219207	HUWE1
A_23_P21929	ADRA1B
A_23_P21966	NSD1
A_23_P2203	TAOK3
A_23_P22096	PTK2
A_23_P22143	PDE6B
A_23_P22205	SLC4A4
A_23_P22214	PRKAR2A
A_23_P22224	EIF4EBP1
A_23_P2223	MYL6B
A_23_P22232	KLRC2
A_23_P22460	BIRC4
A_23_P22625	SLC9A6
A_23_P22660	CYSLTR1
A_23_P22671	SYBL1
A_23_P22672	CXorf45
A_23_P22723	ATP2B3
A_23_P22926	GNB1
A_23_P22957	SH3GLB1
A_23_P22970	PIK3R3
A_23_P22994	NFYC
A_23_P23090	PDC
A_23_P23141	H3F3A
A_23_P23191	HSPG2
A_23_P23194	PINK1
A_23_P23206	MAD2L2
A_23_P23221	GADD45A
A_23_P23292	RXRG
A_23_P233	FMO5
A_23_P23303	EXO1
A_23_P23421	ARHGEF11
A_23_P23438	SEMA4A
A_23_P23502	OR6N1
A_23_P23507	OR10T2
A_23_P23564	PIP5K1A
A_23_P23572	PIP5K1A
A_23_P23584	CTNNBIP1
A_23_P23611	AMY1C
A_23_P23625	CENTB5
A_23_P23630	CENTB5
A_23_P23719	VPS45
A_23_P23728	SV2A
A_23_P23797	ATP6V1G3
A_23_P23829	CD34
A_23_P23855	POLR3GL
A_23_P23924	CAPN2
A_23_P23947	MAP3K8
A_23_P23996	MAT1A
A_23_P24083	PNLIPRP2
A_23_P24104	PLAU
A_23_P24129	DKK1
A_23_P24135	TACR2
A_23_P2423	FLJ10292
A_23_P2431	C3AR1
A_23_P24311	ALDH3B2
A_23_P24361	GRM5
A_23_P24433	CTSF
A_23_P24444	DHCR7
A_23_P24457	LRRC4C
A_23_P24515	ACAT1
A_23_P24594	HSPA8
A_23_P24676	OR8U1
A_23_P24755	STX5
A_23_P24763	RPS13
A_23_P24774	ABCC8
A_23_P24870	CD44
A_23_P24898	OR51D1
A_23_P24903	P2RY2
A_23_P2492	C1S
A_23_P24960	NARS2
A_23_P24997	CDK4
A_23_P250035	SDHA
A_23_P2501	PAH
A_23_P250136	GRIK2
A_23_P250164	HGD
A_23_P25019	PRIM1
A_23_P250206	GCK
A_23_P250228	HYAL4
A_23_P250245	CD72
A_23_P250251	IFNA2
A_23_P25030	HSD17B6
A_23_P250302	CCR3
A_23_P250347	CAMK4
A_23_P250379	MAN2B2
A_23_P250380	MAN2B2
A_23_P250404	RAD50
A_23_P250413	PARVG
A_23_P250462	ATP6AP1
A_23_P250506	DPM3
A_23_P250564	PRKCE
A_23_P250629	PSMB8
A_23_P250671	GPX1
A_23_P250714	ENDOGL1
A_23_P250800	ST3GAL6
A_23_P250904	UBQLN1
A_23_P250910	UBQLN1
A_23_P250914	ATP6V1C2
A_23_P250994	ANAPC10
A_23_P251031	IL13
A_23_P251095	PDHA1
A_23_P251104	SGCB
A_23_P251173	EIF2AK1
A_23_P251259	GTF2H4
A_23_P251316	CTNND1
A_23_P251342	GSK3B
A_23_P251359	PIK3CG
A_23_P251443	CHRNA2
A_23_P251453	HNF4G
A_23_P251593	RPL10A
A_23_P251680	COMT
A_23_P251686	ADRBK2
A_23_P251836	NPY5R
A_23_P251841	NRXN3
A_23_P251855	SLC12A7
A_23_P251881	NCR3
A_23_P251945	DCTN4
A_23_P251974	ZFYVE9
A_23_P251984	PSPH
A_23_P251987	PSPH
A_23_P252062	PPARG
A_23_P252075	KIAA0828
A_23_P252100	TAS2R5
A_23_P252106	RIPK2
A_23_P252145	C1GALT1
A_23_P252163	DAPK1
A_23_P252193	ITGA9
A_23_P252236	KLKB1
A_23_P25224	CSDA
A_23_P252253	STATH
A_23_P252306	ID1
A_23_P252322	ATP5E
A_23_P25246	AVPR1A
A_23_P252462	GALNT9
A_23_P252471	PECAM1
A_23_P25253	DERA
A_23_P252541	RAB7B
A_23_P252636	CSNK1G1
A_23_P252664	FUT6
A_23_P252671	CLTB
A_23_P252681	PCYT1A
A_23_P252817	SST
A_23_P252903	SIL1
A_23_P252981	ACE2
A_23_P253046	UGP2
A_23_P253068	ANAPC2
A_23_P253074	PIWIL2
A_23_P253081	IL3RA
A_23_P253200	RPL15
A_23_P253221	ARHGEF4
A_23_P253301	PFN2
A_23_P253331	HLXB9
A_23_P253389	SLC4A2
A_23_P253484	AADAT
A_23_P253495	GSTA3
A_23_P25354	P2RX7
A_23_P253571	PHF5A
A_23_P2537	MMAB
A_23_P253791	CAMP
A_23_P253911	CHRNA3
A_23_P254081	LIAS
A_23_P254212	RPA4
A_23_P254254	SGSH
A_23_P254271	TUBB6
A_23_P254340	RPN1
A_23_P254512	EFNA1
A_23_P254522	COL4A4
A_23_P254594	GNRH1
A_23_P254612	DBF4
A_23_P25475	SOAT2
A_23_P254756	CD164
A_23_P254790	TAF9B
A_23_P254801	PLCG1
A_23_P254888	ZYX
A_23_P254896	FGF16
A_23_P254934	NRXN3
A_23_P254944	GSTT1
A_23_P255011	UGCGL1
A_23_P255016	UGCGL1
A_23_P25515	MTMR6
A_23_P255185	AKR1D1
A_23_P255273	RAD23B
A_23_P255286	SMPD4
A_23_P255345	VNN1
A_23_P255389	OR2W1
A_23_P255436	ARSA
A_23_P255444	DAPP1
A_23_P255503	PAFAH1B2
A_23_P255535	ASMT
A_23_P25559	ABCC4
A_23_P255653	TNFRSF10A
A_23_P255672	ABLIM2
A_23_P255785	NCK1
A_23_P25581	LIG4
A_23_P255876	DNAI1
A_23_P255884	GSN
A_23_P255968	TAAR5
A_23_P256107	HPSE
A_23_P256158	ADRA2C
A_23_P256205	ABLIM3
A_23_P256334	ITGA1
A_23_P256375	STX4
A_23_P256432	PPP2R5A
A_23_P256455	RPA3
A_23_P256470	NPY
A_23_P256473	SEMA3C
A_23_P256561	TLR6
A_23_P256603	MLLT4
A_23_P256663	GALR3
A_23_P256682	APEX2
A_23_P256724	TNFRSF10C
A_23_P25674	CKB
A_23_P256754	GABRR1
A_23_P256784	MUC2
A_23_P256821	CR1
A_23_P25684	RDH11
A_23_P256868	DCP2
A_23_P256933	RPL24
A_23_P256988	ACYP2
A_23_P257104	NCBP1
A_23_P257111	FBP1
A_23_P257131	PEX13
A_23_P257164	AMT
A_23_P257198	NDUFS4
A_23_P257256	GRK6
A_23_P25735	PSMA6
A_23_P257355	OTC
A_23_P257387	GLRA3
A_23_P257423	ALG14
A_23_P257478	CYP21A2
A_23_P257503	HERC1
A_23_P257516	MICA
A_23_P257609	RPL29
A_23_P257694	GTF2IRD1
A_23_P257704	HSPB1
A_23_P257716	CYP51A1
A_23_P257795	NDUFA2
A_23_P257803	DMGDH
A_23_P257871	DAB2
A_23_P257895	MAPK1
A_23_P257924	ETS2
A_23_P257945	HCCS
A_23_P257962	GRIN1
A_23_P257971	AKR1C1
A_23_P257988	SENP2
A_23_P258018	MYL5
A_23_P258093	AGPAT1
A_23_P258190	AKR1B1
A_23_P258221	ABCC5
A_23_P258246	DDB1
A_23_P258410	WNT7A
A_23_P258525	MC3R
A_23_P258531	PHKA1
A_23_P258633	TH
A_23_P258641	PPP1CB
A_23_P258698	MANBA
A_23_P258714	VARS
A_23_P258769	HLA-DPB1
A_23_P258887	ALDH1L1
A_23_P258964	IARS
A_23_P259071	AREG
A_23_P259090	NUDT12
A_23_P25913	DNAL1
A_23_P259141	ZBP1
A_23_P259172	SSR4
A_23_P259314	RPS4Y1
A_23_P259328	PEX3
A_23_P259438	DCK
A_23_P259442	CPE
A_23_P259451	LSM6
A_23_P259555	OR12D3
A_23_P259580	TAPBP
A_23_P259586	TTK
A_23_P25964	GALC
A_23_P259692	PSAT1
A_23_P259833	PIK3CD
A_23_P259901	TKTL1
A_23_P25994	LGMN
A_23_P259955	GDF5
A_23_P2601	HSP90B1
A_23_P26084	SELS
A_23_P26117	MAN2C1
A_23_P26124	RORA
A_23_P26154	PLIN
A_23_P26184	DET1
A_23_P26223	ASL
A_23_P26325	CCL17
A_23_P2640	CLEC7A
A_23_P26413	RBL2
A_23_P26444	GBL
A_23_P2645	SDS
A_23_P26457	HBA2
A_23_P26582	GNAO1
A_23_P2661	RAP1B
A_23_P26629	PYCARD
A_23_P26713	RPL23
A_23_P26759	CANT1
A_23_P26783	PSMD3
A_23_P26810	TP53
A_23_P26815	RILP
A_23_P26865	MYH3
A_23_P26905	POLG2
A_23_P26945	NAGLU
A_23_P26965	CCL13
A_23_P26976	CHAD
A_23_P26994	GNGT2
A_23_P27023	RAB11FIP4
A_23_P2705	P2RY5
A_23_P27066	UBE2G1
A_23_P27075	GABARAP
A_23_P27096	PFN1
A_23_P27147	ANAPC11
A_23_P27167	RNASEH1
A_23_P27215	UBB
A_23_P27239	OR1D2
A_23_P2725	RPL21
A_23_P27279	NEDD4L
A_23_P27346	SMAD4
A_23_P27367	FVT1
A_23_P27472	ATP1A3
A_23_P27528	CYP2A7
A_23_P27571	MCOLN1
A_23_P27613	MAN2B1
A_23_P27677	IRF3
A_23_P27721	CARD8
A_23_P27784	GP6
A_23_P27917	OR10H1
A_23_P27994	TYROBP
A_23_P28023	OR7A17
A_23_P28057	THOP1
A_23_P28075	GPX4
A_23_P28084	ENST00000343587
A_23_P28090	STX10
A_23_P28139	SCTR
A_23_P2814	SMAD9
A_23_P28153	SCLY
A_23_P28186	SRD5A2
A_23_P28258	PRKAG3
A_23_P28295	LRP2
A_23_P2831	EDNRB
A_23_P28334	IL18RAP
A_23_P28434	VAMP8
A_23_P28450	POLR1A
A_23_P28507	MGAT4A
A_23_P28559	STAMBP
A_23_P28697	HAAO
A_23_P28733	RBL1
A_23_P28761	HNF4A
A_23_P2884	PIGH
A_23_P28886	PCNA
A_23_P28898	PLCB4
A_23_P28953	DNMT3B
A_23_P28969	CHMP4B
A_23_P28980	PIGU
A_23_P28999	CDH4
A_23_P29036	IFNGR2
A_23_P29046	CBR1
A_23_P29096	PDE9A
A_23_P29124	GP1BB
A_23_P29141	SNAP29
A_23_P29263	CSNK1E
A_23_P29330	SMC1B
A_23_P29347	MAPK12
A_23_P29495	CTNNB1
A_23_P29499	CTNNB1
A_23_P29517	TFG
A_23_P29555	SEC13
A_23_P29566	ARPC4
A_23_P2960	AKT1
A_23_P29621	GLYCTK
A_23_P29630	SPCS1
A_23_P29697	ENTPD3
A_23_P29723	SGOL1
A_23_P2973	OR4K1
A_23_P29747	RPL23A
A_23_P29754	BDH1
A_23_P29773	LAMP3
A_23_P29800	CLDN11
A_23_P29803	POLR2H
A_23_P29830	CBLB
A_23_P29922	TLR3
A_23_P29939	SNCA
A_23_P29953	IL15
A_23_P2998	OXA1L
A_23_P29994	RBPJ
A_23_P300033	PDGFRA
A_23_P300056	CDC42
A_23_P300100	PLA2G2D
A_23_P300112	HLA-G
A_23_P300150	NFATC1
A_23_P30020	PLA2G12A
A_23_P30024	NFKB1
A_23_P300600	NEFH
A_23_P300781	CNOT4
A_23_P30091	UCP1
A_23_P30098	ADH4
A_23_P30115	IL2
A_23_P30122	IL2
A_23_P301247	HIST2H2AC
A_23_P301304	FGFR1
A_23_P30162	MFSD8
A_23_P301732	CHMP4B
A_23_P30175	ERBB2IP
A_23_P301962	SIGLEC1
A_23_P301971	MASP2
A_23_P302005	STON1
A_23_P302018	TXK
A_23_P302060	IFNE1
A_23_P30223	SRD5A1
A_23_P302386	HLA-DOA
A_23_P302494	PPP1R3D
A_23_P30294	CDO1
A_23_P303058	C5AR1
A_23_P303072	GRIA1
A_23_P303149	FGFR2
A_23_P303181	SPHK2
A_23_P303260	STX7
A_23_P30338	CCNH
A_23_P30358	PSD2
A_23_P30363	P4HA2
A_23_P30377	DDX46
A_23_P303783	LDHAL6A
A_23_P3038	GPX2
A_23_P303851	TAS2R45
A_23_P3042	PPP2R5E
A_23_P304237	RAPGEF1
A_23_P304279	CHRNE
A_23_P304287	PSMC2
A_23_P30429	NDST1
A_23_P304373	HTR5A
A_23_P304446	PHKG1
A_23_P304897	BDKRB2
A_23_P304921	NOX1
A_23_P30495	HMGCR
A_23_P304991	HLCS
A_23_P305033	MAP3K7IP3
A_23_P305060	PBEF1
A_23_P305198	STAT4
A_23_P30547	LCP2
A_23_P305481	ACO2
A_23_P305677	UBE2D2
A_23_P305680	IGF1R
A_23_P30582	SLC9A3
A_23_P30603	DDO
A_23_P306105	GALNT1
A_23_P30614	PLN
A_23_P306148	PML
A_23_P306500	KRAS
A_23_P306507	KRAS
A_23_P30655	NFKBIE
A_23_P30666	TNFRSF21
A_23_P306730	PPARA
A_23_P306755	CRYAA
A_23_P30687	SERPINB9
A_23_P30693	PLG
A_23_P307274	OR2H2
A_23_P307328	WHSC1
A_23_P307346	CA5B
A_23_P30736	HLA-DOB
A_23_P307544	PLXNA2
A_23_P30755	PTCRA
A_23_P30776	HIST1H2BE
A_23_P30799	HIST1H3F
A_23_P30805	HIST1H4J
A_23_P308097	PPP2CB
A_23_P30813	HIST1H4K
A_23_P30848	HLA-E
A_23_P308603	SRC
A_23_P308673	TAOK2
A_23_P308800	GLS
A_23_P308924	DUSP16
A_23_P30900	HLA-DQA1
A_23_P30913	HLA-DPA1
A_23_P309224	AGK
A_23_P30927	HLA-DOA
A_23_P309381	HIST2H2AA3
A_23_P309545	MDM2
A_23_P309720	GABRD
A_23_P30976	GRM1
A_23_P309967	DCTN5
A_23_P310	MARCKSL1
A_23_P31006	HLA-DRB5
A_23_P310222	TPM3
A_23_P310274	PRSS2
A_23_P310372	IFNK
A_23_P310410	CD1E
A_23_P310421	CHST12
A_23_P310931	CNR2
A_23_P310956	COL6A2
A_23_P311010	SPRY3
A_23_P3111	ACOT2
A_23_P311192	SPTLC1
A_23_P31135	ACAT2
A_23_P311410	AL831885
A_23_P311608	GOSR2
A_23_P311732	GNG12
A_23_P311869	ST3GAL5
A_23_P311875	CD6
A_23_P312008	CD55
A_23_P312132	ITGAX
A_23_P312181	TCEB2
A_23_P312505	TYR
A_23_P31273	AMPH
A_23_P312840	SEMA6A
A_23_P312863	TUBB2C
A_23_P31323	ACTB
A_23_P313389	UGCG
A_23_P313512	DCP1B
A_23_P313542	GRK1
A_23_P313632	FUT8
A_23_P313640	MAP3K2
A_23_P313645	MAP3K2
A_23_P31372	MDH2
A_23_P31389	TRA2A
A_23_P313961	NME6
A_23_P313981	SERPINB10
A_23_P31399	PON2
A_23_P314024	HLA-F
A_23_P314120	CHKB
A_23_P31414	ORC5L
A_23_P314145	UST
A_23_P314526	FLOT1
A_23_P314584	MAPKAPK3
A_23_P314591	NFYB
A_23_P3146	SPTLC2
A_23_P314726	PIK4CB
A_23_P314760	PRKAG2
A_23_P315131	FGFR1
A_23_P315212	NTSR2
A_23_P315241	ACTN4
A_23_P315336	TAPBP
A_23_P31536	SSBP1
A_23_P315364	CXCL2
A_23_P315651	CYBA
A_23_P315789	RFXAP
A_23_P315815	NRG1
A_23_P315836	BAIAP2
A_23_P315872	ZFYVE20
A_23_P315892	ST6GALNAC6
A_23_P315991	OR10A5
A_23_P31602	BUD31
A_23_P316381	ACOX3
A_23_P316447	FGFR1
A_23_P31654	RPL8
A_23_P316543	TPH2
A_23_P31671	UQCRB
A_23_P3169	GMPR2
A_23_P316974	SYNJ2
A_23_P31702	PXMP3
A_23_P31721	E2F5
A_23_P317324	EVI1
A_23_P31755	CRH
A_23_P317591	SEMA3A
A_23_P317654	DDX3X
A_23_P317657	DDX3X
A_23_P317667	ICOSLG
A_23_P317756	ACSM3
A_23_P317800	ANAPC4
A_23_P31798	NAT2
A_23_P318039	RQCD1
A_23_P318208	AP1G1
A_23_P318284	GPD1L
A_23_P318300	ZAK
A_23_P31844	ATP6V1B2
A_23_P318464	EPHA8
A_23_P318646	RPS10
A_23_P31873	RAB11FIP1
A_23_P318800	SSTR2
A_23_P318860	AGTRL1
A_23_P318890	OR1F1
A_23_P31893	ST3GAL1
A_23_P31896	ST3GAL1
A_23_P31903	VPS28
A_23_P319133	DNAJC10
A_23_P319153	AL512694
A_23_P31921	ASS1
A_23_P31945	IL33
A_23_P319466	CYSLTR2
A_23_P319598	C4BPB
A_23_P319617	CHST7
A_23_P319792	XRN1
A_23_P320054	WNT7B
A_23_P32006	OR13D1
A_23_P320185	NDUFA11
A_23_P320200	RNF5
A_23_P32036	C9orf95
A_23_P320658	BUB3
A_23_P320739	MEF2C
A_23_P321034	INADL
A_23_P321261	ME2
A_23_P32143	ALDOB
A_23_P321466	PEX11G
A_23_P321855	ARHGEF7
A_23_P321860	DMD
A_23_P321920	CCL3L3
A_23_P321949	PLA2G2A
A_23_P32199	CRAT
A_23_P322	EFNA4
A_23_P322008	TRHR
A_23_P322519	FOSL1
A_23_P32308	ATP4B
A_23_P323227	PPP1CA
A_23_P323685	HIST1H4H
A_23_P323823	HIST1H2BA
A_23_P324107	RORC
A_23_P32454	TG
A_23_P32463	EXOSC4
A_23_P324679	PTK2
A_23_P324718	SYNJ1
A_23_P324807	VARS2
A_23_P324916	PAX8
A_23_P325093	GGTL3
A_23_P32536	GNG2
A_23_P32615	MNAT1
A_23_P326170	CALM2
A_23_P326204	SGMS2
A_23_P32629	HS6ST3
A_23_P326739	SUV420H1
A_23_P326852	CACNB2
A_23_P32707	ESPL1
A_23_P327307	PAK2
A_23_P32805	GRID1
A_23_P32847	GRID2
A_23_P328545	GABRP
A_23_P328621	UBQLNL
A_23_P32903	OCRL
A_23_P329112	JAK3
A_23_P329133	GOT2
A_23_P329212	ETS1
A_23_P329261	KCNJ2
A_23_P329271	MC1R
A_23_P329335	IQGAP3
A_23_P329340	DNAH3
A_23_P329573	ITGB2
A_23_P329593	SEC24A
A_23_P329727	MAPK8IP3
A_23_P329740	UBC
A_23_P329772	VPS4A
A_23_P329798	CER1
A_23_P330017	DOLPP1
A_23_P330070	TFPI
A_23_P33015	POLR2L
A_23_P33022	POLR2L
A_23_P330262	PIP5K1C
A_23_P33045	RPL26
A_23_P330788	IQSEC2
A_23_P330895	NFKBIB
A_23_P330908	DERL1
A_23_P33093	ST6GALNAC5
A_23_P331063	PGK2
A_23_P331177	BHLHB8
A_23_P331379	NEDD4
A_23_P331670	PYGB
A_23_P33168	SLC18A1
A_23_P331748	CD33
A_23_P33196	COL5A2
A_23_P331992	STX6
A_23_P33216	ATP5B
A_23_P332178	GRM2
A_23_P332268	GABRG3
A_23_P332536	PDGFRA
A_23_P33256	GP9
A_23_P332789	CHRNB4
A_23_P332820	IL17A
A_23_P332992	HIST3H2BB
A_23_P33303	PIK3CD
A_23_P33326	ADRA1B
A_23_P333484	HIST1H3H
A_23_P333605	ENPEP
A_23_P333735	MAD1L1
A_23_P333802	BC013792
A_23_P33384	CIITA
A_23_P334021	IGF2R
A_23_P33407	HERC2
A_23_P334271	BC069781
A_23_P334328	LAMB4
A_23_P334538	KLK3
A_23_P33455	CDC40
A_23_P334608	GUSB
A_23_P334664	PML
A_23_P334727	NRG4
A_23_P335214	UGT2B4
A_23_P335239	GAB1
A_23_P335329	GNG4
A_23_P33539	ADCY2
A_23_P335428	HIBADH
A_23_P3355	POLG
A_23_P335848	GIT2
A_23_P335905	STK36
A_23_P335920	RPS6KA2
A_23_P335957	TAS1R2
A_23_P336176	OR4N4
A_23_P336506	TAS2R9
A_23_P336554	IL1RAP
A_23_P336693	CLDN18
A_23_P336708	DTX3
A_23_P336954	SLC8A2
A_23_P3371	RASGRF1
A_23_P33720	FARS2
A_23_P337201	SRP72
A_23_P337242	TGFBR2
A_23_P33752	SLC25A6
A_23_P337550	OTUD5
A_23_P33759	DHRS3
A_23_P337642	ATP2B3
A_23_P337658	ALPI
A_23_P33768	ZFYVE9
A_23_P337767	ENAH
A_23_P337800	IL29
A_23_P337867	TAS2R41
A_23_P3379	RASGRF1
A_23_P338479	CD274
A_23_P33856	STAG2
A_23_P33868	GPR23
A_23_P338890	PTPN1
A_23_P339119	FLJ21963
A_23_P339191	CBL
