probe	gene
A_23_P13195	OR8G1
A_23_P131967	CRNKL1
A_23_P132019	ITCH
A_23_P132147	CRYAA
A_23_P132216	SNRPD3
A_23_P132277	MCM5
A_23_P132294	GGA1
A_23_P132358	MCAT
A_23_P13244	OR8J1
A_23_P132486	OXSM
A_23_P132526	PIK3R4
A_23_P132569	SLC2A2
A_23_P132611	VHL
A_23_P132619	OXTR
A_23_P132654	TLR9
A_23_P132675	UQCRC1
A_23_P132718	SEMA3B
A_23_P132809	RPN1
A_23_P132822	XRN1
A_23_P132932	DGKQ
A_23_P132936	SPCS3
A_23_P13294	OR1S2
A_23_P132956	UCHL1
A_23_P132973	PIGY
A_23_P133095	RAPGEF2
A_23_P133146	H2AFZ
A_23_P133216	NLN
A_23_P133227	HARS
A_23_P133263	HMGCS1
A_23_P133365	TCERG1
A_23_P133386	RASGRF2
A_23_P133408	CSF2
A_23_P133424	SKP1A
A_23_P133432	SKP1A
A_23_P133445	GZMA
A_23_P133474	GPX3
A_23_P133517	LIFR
A_23_P133585	CDK7
A_23_P133606	SLC12A2
A_23_P133629	CDC23
A_23_P133637	HTR4
A_23_P133656	LAMA4
A_23_P133712	CYP39A1
A_23_P133814	HIST1H3C
A_23_P133916	C2
A_23_P133995	PPIL1
A_23_P134100	ULBP3
A_23_P134109	EPB41L2
A_23_P134125	MAP3K5
A_23_P134139	FABP7
A_23_P134167	PDSS2
A_23_P134176	SOD2
A_23_P134191	TRMT11
A_23_P134247	RHEB
A_23_P13425	CD81
A_23_P1343	STAM
A_23_P134454	CAV1
A_23_P134484	CALCR
A_23_P134502	FZD1
A_23_P134527	YKT6
A_23_P13455	OR51A7
A_23_P134566	OR2A7
A_23_P134584	XRCC2
A_23_P134601	WNT16
A_23_P134609	WASL
A_23_P134693	PPP2CB
A_23_P13479	OR4S1
A_23_P134835	ChGn
A_23_P134854	CLDN23
A_23_P134910	GGH
A_23_P13493	OR51E1
A_23_P134935	DUSP4
A_23_P134980	FGD3
A_23_P135007	OR2S2
A_23_P135079	SARDH
A_23_P135084	RPL7A
A_23_P135157	PLAA
A_23_P135164	UAP1L1
A_23_P135184	RALGDS
A_23_P135190	RALGDS
A_23_P1352	SFRP5
A_23_P135226	OR1N2
A_23_P135248	CCL27
A_23_P135257	PRSS3
A_23_P135273	DNM1
A_23_P135294	ALDH1B1
A_23_P135326	POLE3
A_23_P135342	SEC61B
A_23_P135364	DTYMK
A_23_P135417	GSTA1
A_23_P135437	EXOC4
A_23_P13554	ALG8
A_23_P135548	DPYD
A_23_P135616	STX18
A_23_P135634	MAGED1
A_23_P135722	BTC
A_23_P135755	IL8RB
A_23_P135769	ACTB
A_23_P135778	PPP2R2D
A_23_P135857	EIF2AK3
A_23_P135878	SPIRE1
A_23_P135914	SF3B3
A_23_P136041	PRKG1
A_23_P136058	ATR
A_23_P136077	PARK2
A_23_P1361	ALDH18A1
A_23_P136125	FGB
