probe	gene
A_24_P301146	LMO7
A_24_P302172	PTGFR
A_24_P303091	CXCL10
A_24_P304549	LAMP1
A_24_P307626	ATP1A4
A_24_P310667	HUWE1
A_24_P311694	MAML1
A_24_P313504	PLK1
A_24_P319715	PDIA6
A_24_P320699	IGFBP3
A_24_P321919	IQGAP1
A_24_P322395	EGLN2
A_24_P323104	DIAPH1
A_24_P3249	RARB
A_24_P325520	SORT1
A_24_P329597	UBQLN1
A_24_P329600	UBQLN1
A_24_P329815	AMOTL1
A_24_P330366	RCOR1
A_24_P334130	FN1
A_24_P336848	ACYP2
A_24_P338121	UBQLN1
A_24_P338992	EDC3
A_24_P339944	PDGFB
A_24_P339974	AP2A2
A_24_P344087	REC8
A_24_P345123	MPZL1
A_24_P347566	TLN2
A_24_P350173	FLJ20581
A_24_P350223	SHC4
A_24_P358462	AGRN
A_24_P360529	PDE7A
A_24_P364025	UBE2D1
A_24_P367749	BC010615
A_24_P367965	HK1
A_24_P372901	MVK
A_24_P37409	DUSP2
A_24_P377269	HSPA4
A_24_P379104	PIM2
A_24_P379413	IL6R
A_24_P382489	SLC27A1
A_24_P38276	FZD1
A_24_P385313	PTPRF
A_24_P38815	TPP1
A_24_P388860	OSMR
A_24_P390784	SREBF1
A_24_P391568	ARNT
A_24_P393449	DAPK1
A_24_P395966	ZBP1
A_24_P396197	PRKCSH
A_24_P396889	AK025576
A_24_P398432	CENTD2
A_24_P399009	EDC4
A_24_P399174	RABEP1
A_24_P40229	CRNKL1
A_24_P403459	IFNA4
A_24_P405205	ATP2B4
A_24_P408083	DNMT1
A_24_P408424	MYH9
A_24_P413669	PFKFB2
A_24_P414045	GCS1
A_24_P414719	FLJ11236
A_24_P416177	ADCY7
A_24_P416411	PEX12
A_24_P4212	PYCRL
A_24_P45379	CACYBP
A_24_P457912	PIGU
A_24_P463891	AK095046
A_24_P46927	AK024824
A_24_P475556	LOC146346
A_24_P48723	PTGIS
A_24_P48856	CBS
A_24_P50759	TNF
A_24_P50918	AK090830
A_24_P538567	AK055501
A_24_P54253	PARS2
A_24_P54390	RASGRP3
A_24_P544543	CAPN1
A_24_P56252	AF086032
A_24_P565556	ALG1
A_24_P566891	ARF1
A_24_P63019	IL1R2
A_24_P64039	AP3M2
A_24_P65616	PVR
A_24_P677525	AF336795
A_24_P682285	HSPA1A
A_24_P687302	LAMA3
A_24_P70183	MYH11
A_24_P70888	PLXNB2
A_24_P71244	PIK3CD
A_24_P740662	AK022379
A_24_P778649	MDM4
A_24_P77968	FLNC
A_24_P79241	UBOX5
A_24_P79403	PF4
A_24_P795594	ALG9
A_24_P801451	EHMT2
A_24_P813147	TUBB8
A_24_P84419	VAV2
A_24_P84898	FEN1
A_24_P85539	FN1
A_24_P87257	RCOR1
A_24_P881527	CTNND1
A_24_P88554	PEX11B
A_24_P89891	TRAF1
A_24_P911775	PPP2R2D
A_24_P912720	CHRNA4
A_24_P915492	INPP4B
A_24_P916927	DGKE
A_24_P917026	NF1
A_24_P917280	ALDH1A3
A_24_P919096	ERBB3
A_24_P919460	RPS2
A_24_P919989	BC015334
A_24_P920102	SYF2
A_24_P921933	SFRS1
A_24_P923353	ALDH5A1
A_24_P924183	MYO10
A_24_P925040	CAV2
A_24_P930597	BG259864
A_24_P932208	CREB1
A_24_P932418	AP2A2
A_24_P935026	STK4
A_24_P936319	BC030115
A_24_P941845	GMPPB
A_24_P942296	CNOT2
A_24_P942850	PGAP1
A_24_P942969	FUT2
A_24_P943358	DBF4
A_24_P944827	ATG7
A_24_P944964	GP5
A_24_P945262	AK097139
A_24_P945396	SF3B3
A_24_P96403	RUNX1
A_32_P102935	SPDYA
A_32_P106235	AA293788
A_32_P106615	AW268902
A_32_P116203	NCF1
A_32_P123106	PAPOLG
A_32_P125103	AA902595
A_32_P127566	BE693409
A_32_P128006	AA778291
A_32_P134209	ACVR2B
A_32_P136588	BF928446
A_32_P138666	BX414807
A_32_P141768	AGPAT4
A_32_P144342	PARP4
A_32_P144619	BF827074
A_32_P145502	BE710618
A_32_P149011	CN479126
A_32_P151102	MSN
A_32_P155786	RPS2
A_32_P157304	AI919230
A_32_P157945	DSP
A_32_P15898	CB240572
A_32_P167000	CK818527
A_32_P168202	RP11-78J21.1
A_32_P170406	TLN2
A_32_P17182	N48043
A_32_P175739	HK2
A_32_P176066	EIF4E
A_32_P178800	ITGA2
A_32_P179258	RAB22A
A_32_P182439	POLD3
A_32_P187327	TUBB2C
A_32_P189093	AI090167
A_32_P189803	HNRPA1
A_32_P192804	BF195626
A_32_P195065	SEMA4F
A_32_P195853	AP3M1
A_32_P196029	FGF7
A_32_P208753	BG191465
A_32_P209960	CIITA
A_32_P216548	LDLRAP1
A_32_P223017	MAP3K6
A_32_P225854	SPRED2
A_32_P235145	AI348443
A_32_P25204	PRKDC
A_32_P25437	SLC12A2
A_32_P27763	U92025
A_32_P32739	NAGS
A_32_P36313	VTI1A
A_32_P402521	PRPF8
A_32_P42895	AW138903
A_32_P4364	BCAP31
A_32_P45375	AF037219
A_32_P45844	BX110856
A_32_P480177	TNN
A_32_P48397	PLXNB2
A_32_P49654	RPS2
A_32_P49844	RHOQ
A_32_P50834	DIAPH2
A_32_P51894	HNRPU
A_32_P52282	HSD17B7
A_32_P5276	SGEF
A_32_P6062	BQ880155
A_32_P627	TAF9B
A_32_P62773	BX444658
A_32_P66072	H43551
A_32_P67259	SDHA
A_32_P69368	ID2
A_32_P70158	LILRB3
A_32_P7176	AW949170
A_32_P72822	CCNB2
A_32_P7316	BDNF
A_32_P74942	BI024548
A_32_P794894	HIST1H3G
A_32_P80897	HSD17B1
A_32_P80901	BC068045
A_32_P86763	TGM2
A_32_P87013	IL8
A_32_P87703	MAT2A
A_32_P89976	POLR1E
A_32_P97315	AI458424
A_32_P99533	AI423557
